list, \ue084
tile, \ue129
table_cell, \ue127
copy_files, \ue038
cut_scissors, \ue03b
backspace, \ue010
alignleft, \ue005
aligncenter, \ue004
alignright, \ue006
alignadjust, \ue003
italic, \ue079
bold, \ue01f
underline, \ue132
strike, \ue159
emphasis, \ue152
code, \ue032
link_chain, \ue082
quote, \ue10b
graph, \ue05b
magic_effect, \ue089
brush, \ue022
color_palette, \ue033
contrast_adjust, \ue001
ink_water, \ue14a
gradation_grayscale, \ue149
sepia_grunge, \ue14e
invert, \ue14b
paint, \ue09b
paramater_param_slider, \ue09c
crop, \ue039
check_ok, \ue029
checkbox, \ue02a
checkboxempty, \ue02b
pc_display_compiter, \ue09e
keyboard, \ue07d
mobile_iphone_smartphone, \ue078
horizontal, \ue071
vertical, \ue138
web, \ue13f
mail, \ue08a
shopping_cart, \ue119
dashboard, \ue03c
key, \ue07c
sns_network, \ue11f
calender, \ue15e
dailycalender, \ue025
ban, \ue012
remove_close, \ue10f
pen_pencil_write, \ue09f
eraser, \ue148
edit_addnew, \ue041
tabs, \ue095
tag, \ue128
setup_wrench_spanner, \ue117
setting_gear, \ue055
etc_ellipsis, \ue043
clip_attach, \ue030
bookmark, \ue021
book, \ue020
album, \ue002
user_you_human_man, \ue137
friend_users, \ue051
group, \ue05c
frustrate, \ue052
laugh, \ue07f
wink, \ue081
smile, \ue11e
surprise, \ue124
trouble, \ue12d
game, \ue054
globe_global_earth, \ue058
home_house, \ue072
building, \ue023
rss_feed, \ue113
app_application, \ue009
memo, \ue08d
meal_dish_lunch, \ue08c
coffee_cup, \ue146
present_gift, \ue109
twinkle_spark_hot, \ue073
crown, \ue03a
category_drawer, \ue028
circle, \ue02e
info_information, \ue075
help, \ue070
refreshbutton, \ue14d
notify, \ue097
file, \ue048
print, \ue10a
delete_trash, \ue12c
clear, \ue02f
save_stock, \ue115
upload, \ue136
cloud, \ue031
folder, \ue04c
camera, \ue026
photo_images, \ue101
image_img, \ue074
barcode, \ue013
phone_call, \ue100
music, \ue094
video, \ue139
playmedia, \ue107
record_mic_microphone, \ue10d
play, \ue106
pause, \ue09d
stop, \ue123
eject, \ue042
bell, \ue014
volumeup, \ue13d
volumedown, \ue13c
volume_volumeoff, \ue13b
off_power, \ue098
light_brightness, \ue14c
dark_darkness, \ue147
lock, \ue086
unlock, \ue134
flag, \ue04a
wifi, \ue140
time, \ue12b
map, \ue08b
geo_aim, \ue056
location_direction, \ue085
pin, \ue103
walking, \ue13e
bicycle, \ue015
car, \ue027
bus, \ue024
plane_airport, \ue105
compass, \ue036
arrowup, \ue00e
arrowright, \ue00d
arrowdown, \ue00b
arrowleft, \ue00c
up, \ue135
right, \ue112
down, \ue03e
left, \ue080
back, \ue00f
next, \ue096
dropdown, \ue040
sort, \ue120
good_like, \ue059
bad_nogood, \ue011
full, \ue053
small, \ue11d
move, \ue093
undo, \ue133
forward, \ue04e
reply, \ue111
share, \ue118
login_in, \ue087
logout_out, \ue088
exchange, \ue045
shuffle_random, \ue11a
repeat_retweet, \ue110
refresh_reload, \ue10e
sync, \ue125
external_newtab, \ue046
addstar, \ue000
star, \ue121
starempty, \ue122
heart_love, \ue06e
heartempty, \ue06f
view_eye, \ue13a
comment_balloon, \ue034
comments_balloons, \ue035
plus_add, \ue108
minus, \ue08f
zoomin_zoom, \ue142
zoomout, \ue143
search, \ue116
menu, \ue08e
tilemenu, \ue12a
apple, \ue00a
android, \ue008
windows, \ue151
amazon, \ue007
facebook, \ue047
twitter, \ue12f
google, \ue05a
hatena, \ue05d
hatenabookmark, \ue161
linkedin, \ue083
paperboy, \ue162
mixi, \ue090
line, \ue157
mobage, \ue158
gree, \ue153
skype, \ue11b
foursquare, \ue04d
pinterest, \ue104
flickr, \ue04b
tumblr, \ue12e
evernote, \ue044
github, \ue057
yapcasialogomark, \ue15c
dribbble, \ue03f
cookpad, \ue037
instapaper, \ue076
readability, \ue10c
gumroad, \ue154
picasa, \ue102
instagram, \ue155
delicious, \ue03d
youtube, \ue141
chrome, \ue02c
safari, \ue114
sleipnir_chess_knight, \ue11c
firefox, \ue049
opera, \ue099
internetexplorer_ie, \ue077